Durumu;Stok Kodu;Stok Adı;Üretim Kodu;Üretim Adı;Planlama Miktarı;Şube Kodu;Kaydeden;Kayıt Tarihi;Değiştiren;Değiştirme Tarihi;Ticari Ünvanı;Teslim Tarihi;Adı Soyadı
;st0000382;YUMURTA 30 LU;2;0;ADET;2;ADET;MERKEZ;;;;;
;st0000159;KABARTMA TOZU 1 KG;0,015;0;KİLOGRAM;0,015;KİLOGRAM;MERKEZ;;;;;
;st0000079;DR OETKER VANILYA 1 KG;0,01;0;KİLOGRAM;0,01;KİLOGRAM;MERKEZ;;;;;
;st0000021;NİŞASTA 10 KG ;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;st0000062;PUDRA ŞEKERİ DÖKME;0,11;0;KİLOGRAM;0,11;KİLOGRAM;MERKEZ;;;;;
;st0000020;OVA UN ;0,5;0;KG;0,5;KG;MERKEZ;;;;;
;st0000326;ELMA İTHAL;1,1;0,33;KİLOGRAM;1,43;KİLOGRAM;MERKEZ;;;;;
;st0000078;TOZ ŞEKER 50 KG;0,185;0;KİLOGRAM;0,185;KİLOGRAM;MERKEZ;;;;;
;st0000179;TARÇIN;0,013;0;KİLOGRAM;0,013;KİLOGRAM;MERKEZ;;;;;
;st0000089;FINDIK KIRIK 1 KG;0,06;0;KİLOGRAM;0,06;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00279;TEKLİ PİŞİ;BUR00038;TEKLİ PİŞİ;20;MERKEZ;MERKEZ;20.11.2025;MERKEZ;19.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000020;OVA UN ;1;0;KG;1;KG;MERKEZ;;;;;
;ST00289;KURU MAYA;0,02;0;KİLOGRAM;0,02;KİLOGRAM;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,021;0;KİLOGRAM;0,021;KİLOGRAM;MERKEZ;;;;;
;ST00198;DAMACANA SU 1 LT;0,6;0;ADET;0,6;ADET;MERKEZ;;;;;
;st0000005;FRİTA YAĞI 18 LT;0,24;0;LİTRE;0,24;LİTRE;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00278;PİŞİ TABAĞI;BUR00040;PİŞİ TABAĞI;1;MERKEZ;MERKEZ;24.11.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;ST00279;TEKLİ PİŞİ;4;0;ADET;4;ADET;MERKEZ;;;;;
;ST00281;PİKNİK ZEYTİN;1;0;ADET;1;ADET;MERKEZ;;;;;
;ST00280;ÜÇGEN PEYNİR;2;0;ADET;2;ADET;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00290;ELMALI KURABİYE HARCI;BUR00042;;1;MERKEZ;MERKEZ;24.11.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000326;ELMA İTHAL;75;22,5;KİLOGRAM;97,5;KİLOGRAM;MERKEZ;;;;;
;st0000078;TOZ ŞEKER 50 KG;6;0;KİLOGRAM;6;KİLOGRAM;MERKEZ;;;;;
;st0000179;TARÇIN;0,5;0;KİLOGRAM;0,5;KİLOGRAM;MERKEZ;;;;;
;st0000017;TRAKYAĞ SIVIYAĞ LT;0,2;0;LİTRE;0,2;LİTRE;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00246;KAKAOLU CUPCAKE;BUR00043;KAKAOLU CAPCAKE;58;MERKEZ;MERKEZ;24.11.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000382;YUMURTA 30 LU;15;0;ADET;15;ADET;MERKEZ;;;;;
;st0000078;TOZ ŞEKER 50 KG;2;0;KİLOGRAM;2;KİLOGRAM;MERKEZ;;;;;
;st0000083;AYÇİÇEK YAĞI  LT;1,49;0;LİTRE;1,49;LİTRE;MERKEZ;;;;;
;st0000439;SÜT YARIM YAĞLI 1 LT;1,75;0;LİTRE;1,75;LİTRE;MERKEZ;;;;;
;st0000159;KABARTMA TOZU 1 KG;0,132;0;KİLOGRAM;0,132;KİLOGRAM;MERKEZ;;;;;
;st0000079;DR OETKER VANILYA 1 KG;0,097;0;KİLOGRAM;0,097;KİLOGRAM;MERKEZ;;;;;
;st0000088;KAKAO 1 KG;0,5;0;KİLOGRAM;0,5;KİLOGRAM;MERKEZ;;;;;
;st0000020;OVA UN ;3,1;0;KG;3,1;KG;MERKEZ;;;;;
;st0000166;DAMLA DROP BİTTER KİLOLUK;0,925;0;KİLOGRAM;0,925;KİLOGRAM;MERKEZ;;;;;
;st0000089;FINDIK KIRIK 1 KG;0,27;0;KİLOGRAM;0,27;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00017;HAVUÇLU CUPCAKE;BUR00045;HAVUÇLU CAPCAKE;58;MERKEZ;MERKEZ;24.11.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000382;YUMURTA 30 LU;15;0;ADET;15;ADET;MERKEZ;;;;;
;st0000078;TOZ ŞEKER 50 KG;2;0;KİLOGRAM;2;KİLOGRAM;MERKEZ;;;;;
;st0000079;DR OETKER VANILYA 1 KG;0,097;0;KİLOGRAM;0,097;KİLOGRAM;MERKEZ;;;;;
;st0000017;TRAKYAĞ SIVIYAĞ LT;1,49;0;LİTRE;1,49;LİTRE;MERKEZ;;;;;
;st0000439;SÜT YARIM YAĞLI 1 LT;1,75;0;LİTRE;1,75;LİTRE;MERKEZ;;;;;
;st0000159;KABARTMA TOZU 1 KG;0,132;0;KİLOGRAM;0,132;KİLOGRAM;MERKEZ;;;;;
;st0000020;OVA UN ;3,1;0;KG;3,1;KG;MERKEZ;;;;;
;st0000303;HAVUÇ;0,315;0;KİLOGRAM;0,315;KİLOGRAM;MERKEZ;;;;;
;st0000061;CEVİZ İÇİ;0,254;0;KİLOGRAM;0,254;KİLOGRAM;MERKEZ;;;;;
;st0000179;TARÇIN;0,06;0;KİLOGRAM;0,06;KİLOGRAM;MERKEZ;;;;;
;st0000089;FINDIK KIRIK 1 KG;0,27;0;KİLOGRAM;0,27;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00011;ÇİKOLATALI PUDİNG;BUR00047;ÇİKOLATALI PUDİNG;45;MERKEZ;MERKEZ;24.11.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000439;SÜT YARIM YAĞLI 1 LT;6;0;LİTRE;6;LİTRE;MERKEZ;;;;;
;st0000021;NİŞASTA 10 KG ;1,071;0;KİLOGRAM;1,071;KİLOGRAM;MERKEZ;;;;;
;st0000078;TOZ ŞEKER 50 KG;2,26;0;KİLOGRAM;2,26;KİLOGRAM;MERKEZ;;;;;
;st0000088;KAKAO 1 KG;0,54;0;KİLOGRAM;0,54;KİLOGRAM;MERKEZ;;;;;
;st0000079;DR OETKER VANILYA 1 KG;0,04;0;KİLOGRAM;0,04;KİLOGRAM;MERKEZ;;;;;
;st0000004;ÜLKER TEREMYAĞ KG ;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;st0000164;SUB KASE;1;0;ADET;1;ADET;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00291;ÇİKOLATA SOS ;BUR00049;ÇİKOLATA SOS;20;MERKEZ;MERKEZ;25.11.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000439;SÜT YARIM YAĞLI 1 LT;1;0;LİTRE;1;LİTRE;MERKEZ;;;;;
;st0000002;KREMA;0,2;0;LİTRE;0,2;LİTRE;MERKEZ;;;;;
;st0000021;NİŞASTA 10 KG ;0,07;0;KİLOGRAM;0,07;KİLOGRAM;MERKEZ;;;;;
;st0000020;OVA UN ;0,07;0;KG;0,07;KG;MERKEZ;;;;;
;st0000078;TOZ ŞEKER 50 KG;0,15;0;KİLOGRAM;0,15;KİLOGRAM;MERKEZ;;;;;
;st0000088;KAKAO 1 KG;0,1;0;KİLOGRAM;0,1;KİLOGRAM;MERKEZ;;;;;
;st0000290;NESTLE 1927 SÜTLÜ KUVERTÜR 2,5KG;0,2;0;KİLOGRAM;0,2;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00292;PROFİTEROL HAMURU;BUR00052;PROFİTEROL HAMURU;40;MERKEZ;MERKEZ;25.11.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;ST00198;DAMACANA SU 1 LT;0,37;0;ADET;0,37;ADET;MERKEZ;;;;;
;st0000020;OVA UN ;0,25;0;KG;0,25;KG;MERKEZ;;;;;
;st0000382;YUMURTA 30 LU;6;0;ADET;6;ADET;MERKEZ;;;;;
;st0000078;TOZ ŞEKER 50 KG;0,01;0;KİLOGRAM;0,01;KİLOGRAM;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,006;0;KİLOGRAM;0,006;KİLOGRAM;MERKEZ;;;;;
;st0000130;ALBA SADE 10KG;0,2;0;KİLOGRAM;0,2;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00293;PASTACI KREMASI;BUR00054;PASTACI KREMASI;40;MERKEZ;MERKEZ;25.11.2025;MERKEZ;31.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000439;SÜT YARIM YAĞLI 1 LT;1;0;LİTRE;1;LİTRE;MERKEZ;;;;;
;st0000020;OVA UN ;0,07;0;KG;0,07;KG;MERKEZ;;;;;
;st0000021;NİŞASTA 10 KG ;0,07;0;KİLOGRAM;0,07;KİLOGRAM;MERKEZ;;;;;
;st0000382;YUMURTA 30 LU;1;0;ADET;1;ADET;MERKEZ;;;;;
;st0000078;TOZ ŞEKER 50 KG;0,15;0;KİLOGRAM;0,15;KİLOGRAM;MERKEZ;;;;;
;ST00297;BEYAZ ÇİKOLATA KUVERTÜR;0,12;0;KİLOGRAM;0,12;KİLOGRAM;MERKEZ;;;;;
;ST00365;TATLILAR İÇİN  KREMA 1 LT;0,2;0;LİTRE;0,2;LİTRE;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00294;PROFİTEROL CUP;BUR00057;PROFİTEROL CUP;1;MERKEZ;MERKEZ;25.11.2025;MERKEZ;31.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;ST00292;PROFİTEROL HAMURU;2;0;ADET;2;ADET;MERKEZ;;;;;
;ST00291;ÇİKOLATA SOS ;1;0;ADET;1;ADET;MERKEZ;;;;;
;ST00293;PASTACI KREMASI;2;0;ADET;2;ADET;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00298;TİRAMİSU CUP;BUR00060;TİRAMİSU CUP;10;MERKEZ;MERKEZ;25.11.2025;MERKEZ;25.11.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000439;SÜT YARIM YAĞLI 1 LT;1;0;LİTRE;1;LİTRE;MERKEZ;;;;;
;ST00297;BEYAZ ÇİKOLATA KUVERTÜR;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;st0000020;OVA UN ;0,03;0;KG;0,03;KG;MERKEZ;;;;;
;st0000021;NİŞASTA 10 KG ;0,02;0;KİLOGRAM;0,02;KİLOGRAM;MERKEZ;;;;;
;st0000382;YUMURTA 30 LU;1;0;ADET;1;ADET;MERKEZ;;;;;
;st0000078;TOZ ŞEKER 50 KG;0,15;0;KİLOGRAM;0,15;KİLOGRAM;MERKEZ;;;;;
;ST00295;LABNE;0,4;0;KİLOGRAM;0,4;KİLOGRAM;MERKEZ;;;;;
;ST00296;KEDİ DİLİ;0,2;0;KİLOGRAM;0,2;KİLOGRAM;MERKEZ;;;;;
;st0000275;NESCAFE INTENSE;0,035;0;KİLOGRAM;0,035;KİLOGRAM;MERKEZ;;;;;
;st0000088;KAKAO 1 KG;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00301;MAGNOLİA;BUR00062;ÇİLEKLİ MAGNOLİA;10;MERKEZ;MERKEZ;25.11.2025;MERKEZ;31.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000439;SÜT YARIM YAĞLI 1 LT;1;0;LİTRE;1;LİTRE;MERKEZ;;;;;
;st0000020;OVA UN ;0,06;0;KG;0,06;KG;MERKEZ;;;;;
;st0000021;NİŞASTA 10 KG ;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;st0000382;YUMURTA 30 LU;1;0;ADET;1;ADET;MERKEZ;;;;;
;st0000078;TOZ ŞEKER 50 KG;0,16;0;KİLOGRAM;0,16;KİLOGRAM;MERKEZ;;;;;
;ST00297;BEYAZ ÇİKOLATA KUVERTÜR;0,15;0;KİLOGRAM;0,15;KİLOGRAM;MERKEZ;;;;;
;ST00299;ETİ BURÇAK;0,1;0;ADET;0,1;ADET;MERKEZ;;;;;
;ST00300;CİCİ BEBE;0,1;0;KİLOGRAM;0,1;KİLOGRAM;MERKEZ;;;;;
;st0000330;ÇİLEK;0,3;0;KİLOGRAM;0,3;KİLOGRAM;MERKEZ;;;;;
;ST00365;TATLILAR İÇİN  KREMA 1 LT;0,2;0;LİTRE;0,2;LİTRE;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00302;MUZLU MAGNOLİA;BUR00064;MUZLU MAGNOLİA;10;MERKEZ;MERKEZ;25.11.2025;MERKEZ;31.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000439;SÜT YARIM YAĞLI 1 LT;1;0;LİTRE;1;LİTRE;MERKEZ;;;;;
;st0000020;OVA UN ;0,06;0;KG;0,06;KG;MERKEZ;;;;;
;st0000021;NİŞASTA 10 KG ;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;st0000382;YUMURTA 30 LU;1;0;ADET;1;ADET;MERKEZ;;;;;
;st0000078;TOZ ŞEKER 50 KG;0,16;0;KİLOGRAM;0,16;KİLOGRAM;MERKEZ;;;;;
;ST00297;BEYAZ ÇİKOLATA KUVERTÜR;0,15;0;KİLOGRAM;0,15;KİLOGRAM;MERKEZ;;;;;
;ST00299;ETİ BURÇAK;0,1;0;ADET;0,1;ADET;MERKEZ;;;;;
;ST00300;CİCİ BEBE;0,1;0;KİLOGRAM;0,1;KİLOGRAM;MERKEZ;;;;;
;st0000317;MUZ İTHAL;0,3;0;KİLOGRAM;0,3;KİLOGRAM;MERKEZ;;;;;
;ST00365;TATLILAR İÇİN  KREMA 1 LT;0,2;0;LİTRE;0,2;LİTRE;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00303;PİZZA TABANI;BUR00067;PİZZA HAMURU;80;MERKEZ;MERKEZ;26.11.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000014;SAF TUZ 750 GR   ;0,525;0;KİLOGRAM;0,525;KİLOGRAM;MERKEZ;;;;;
;st0000078;TOZ ŞEKER 50 KG;0,525;0;KİLOGRAM;0,525;KİLOGRAM;MERKEZ;;;;;
;ST00289;KURU MAYA;0,075;0;KİLOGRAM;0,075;KİLOGRAM;MERKEZ;;;;;
;st0000218;OLIOVILLA SIZMA Z.YAĞI LT;0,45;0;LİTRE;0,45;LİTRE;MERKEZ;;;;;
;st0000083;AYÇİÇEK YAĞI  LT;0,9;0;LİTRE;0,9;LİTRE;MERKEZ;;;;;
;st0000439;SÜT YARIM YAĞLI 1 LT;2,25;0;LİTRE;2,25;LİTRE;MERKEZ;;;;;
;st0000020;OVA UN ;20,65;0;KG;20,65;KG;MERKEZ;;;;;
;ST00198;DAMACANA SU 1 LT;9;0;LİTRE;9;LİTRE;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00305;DOMATES SOS;BUR00070;DOMATES SOS;134;MERKEZ;MERKEZ;1.12.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000023;DOĞRANMIŞ DOMATES;24,3;0;KİLOGRAM;24,3;KİLOGRAM;MERKEZ;;;;;
;st0000321;SOĞAN;1,3;0;KİLOGRAM;1,3;KİLOGRAM;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,075;0;KİLOGRAM;0,075;KİLOGRAM;MERKEZ;;;;;
;st0000078;TOZ ŞEKER 50 KG;0,075;0;KİLOGRAM;0,075;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00045;PENNE NAPOLİTAN;BUR00072;PENNE NAPOLİTAN;1;MERKEZ;MERKEZ;1.12.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000027;N73(BÜYÜK) PENNE BARİLLA 2 KG;0,17;0;ADET;0,17;ADET;MERKEZ;;;;;
;ST00305;DOMATES SOS;0,15;0;KİLOGRAM;0,15;KİLOGRAM;MERKEZ;;;;;
;st0000117;DONUK SARIMSAK SOYULMUŞ;0,01;0;KİLOGRAM;0,01;KİLOGRAM;MERKEZ;;;;;
;st0000022;SOYA SOSU;0,03;0;ADET;0,03;ADET;MERKEZ;;;;;
;st0000307;FESLEĞEN;0,015;0;ADET;0,015;ADET;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,015;0;KİLOGRAM;0,015;KİLOGRAM;MERKEZ;;;;;
;st0000015;KARABİBER 1000GR;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000108;KİMYON;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000109;KEKİK 1000 GR;0,003;0;KİLOGRAM;0,003;KİLOGRAM;MERKEZ;;;;;
;st0000099;ÖNCÜ PUL BİBER 1 KG;0,003;0;KİLOGRAM;0,003;KİLOGRAM;MERKEZ;;;;;
;st0000030;RENDE MOZARELLA PEYNİR;0,04;0;KİLOGRAM;0,04;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00044;KREMALI MANTARLI PENNE;BUR00074;KREMALI MANTARLI PENNE;1;MERKEZ;MERKEZ;1.12.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000301;MANTAR;0,1;0;KİLOGRAM;0,1;KİLOGRAM;MERKEZ;;;;;
;st0000002;KREMA;0,15;0;LİTRE;0,15;LİTRE;MERKEZ;;;;;
;st0000117;DONUK SARIMSAK SOYULMUŞ;0,01;0;KİLOGRAM;0,01;KİLOGRAM;MERKEZ;;;;;
;st0000022;SOYA SOSU;0,03;0;ADET;0,03;ADET;MERKEZ;;;;;
;st0000307;FESLEĞEN;0,015;0;ADET;0,015;ADET;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000015;KARABİBER 1000GR;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000108;KİMYON;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000109;KEKİK 1000 GR;0,003;0;KİLOGRAM;0,003;KİLOGRAM;MERKEZ;;;;;
;st0000099;ÖNCÜ PUL BİBER 1 KG;0,003;0;KİLOGRAM;0,003;KİLOGRAM;MERKEZ;;;;;
;st0000027;N73(BÜYÜK) PENNE BARİLLA 2 KG;0,17;0;ADET;0,17;ADET;MERKEZ;;;;;
;st0000065;TEREYAĞI 1 KG;0,03;0;KİLOGRAM;0,03;KİLOGRAM;MERKEZ;;;;;
;st0000030;RENDE MOZARELLA PEYNİR;0,04;0;KİLOGRAM;0,04;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00046;TAVUKLU MANTARLI PENNE;BUR00076;TAVUKLU MANTARLI PENNE;1;MERKEZ;MERKEZ;1.12.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000301;MANTAR;0,065;0;KİLOGRAM;0,065;KİLOGRAM;MERKEZ;;;;;
;st0000002;KREMA;0,15;0;LİTRE;0,15;LİTRE;MERKEZ;;;;;
;st0000117;DONUK SARIMSAK SOYULMUŞ;0,01;0;KİLOGRAM;0,01;KİLOGRAM;MERKEZ;;;;;
;st0000022;SOYA SOSU;0,03;0;ADET;0,03;ADET;MERKEZ;;;;;
;st0000307;FESLEĞEN;0,015;0;ADET;0,015;ADET;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000015;KARABİBER 1000GR;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000108;KİMYON;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000109;KEKİK 1000 GR;0,003;0;KİLOGRAM;0,003;KİLOGRAM;MERKEZ;;;;;
;st0000099;ÖNCÜ PUL BİBER 1 KG;0,003;0;KİLOGRAM;0,003;KİLOGRAM;MERKEZ;;;;;
;st0000027;N73(BÜYÜK) PENNE BARİLLA 2 KG;0,17;0;ADET;0,17;ADET;MERKEZ;;;;;
;st0000065;TEREYAĞI 1 KG;0,03;0;KİLOGRAM;0,03;KİLOGRAM;MERKEZ;;;;;
;st0000030;RENDE MOZARELLA PEYNİR;0,04;0;KİLOGRAM;0,04;KİLOGRAM;MERKEZ;;;;;
;ST00307;TAVUK IZGARA ÇİĞ;0,1;0;KİLOGRAM;0,1;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00047;TAVUK IZGARA;BUR00078;TAVUK IZGARA;1;MERKEZ;MERKEZ;1.12.2025;MERKEZ;30.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;ST00307;TAVUK IZGARA ÇİĞ;0,27;0;KİLOGRAM;0,27;KİLOGRAM;MERKEZ;;;;;
;st0000314;ÇERY DOMATES;0,03;0;KİLOGRAM;0,03;KİLOGRAM;MERKEZ;;;;;
;ST00040;PATATES KIZARTMASI;0,5;0;Adet;0,5;Adet;MERKEZ;;;;;
;ST00045;PENNE NAPOLİTAN;0,33;0;Adet;0,33;Adet;MERKEZ;;;;;
;st0000323;KAPYA BİBER;0,003;0;KİLOGRAM;0,003;KİLOGRAM;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000015;KARABİBER 1000GR;0,003;0;KİLOGRAM;0,003;KİLOGRAM;MERKEZ;;;;;
;st0000108;KİMYON;0,003;0;KİLOGRAM;0,003;KİLOGRAM;MERKEZ;;;;;
;st0000309;LİMON;0,03;0;KİLOGRAM;0,03;KİLOGRAM;MERKEZ;;;;;
;st0000311;ICEBERG;0,05;0;ADET;0,05;ADET;MERKEZ;;;;;
;st0000310;LOLOROSO ADET ;0,05;0;ADET;0,05;ADET;MERKEZ;;;;;
;ST00304;ROKA;0,05;0;ADET;0,05;ADET;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00048;KÖRİ SOSLU TAVUK ;BUR00080;KÖRİ SOSLU TAVUK;1;MERKEZ;MERKEZ;1.12.2025;MERKEZ;30.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000381;TAVUK BONFİLE;0,18;0;KİLOGRAM;0,18;KİLOGRAM;MERKEZ;;;;;
;st0000314;ÇERY DOMATES;0,03;0;KİLOGRAM;0,03;KİLOGRAM;MERKEZ;;;;;
;ST00040;PATATES KIZARTMASI;0,5;0;Adet;0,5;Adet;MERKEZ;;;;;
;ST00045;PENNE NAPOLİTAN;0,33;0;Adet;0,33;Adet;MERKEZ;;;;;
;ST00212;KÖRİ TOZU;0,01;0;KİLOGRAM;0,01;KİLOGRAM;MERKEZ;;;;;
;st0000021;NİŞASTA 10 KG ;0,01;0;KİLOGRAM;0,01;KİLOGRAM;MERKEZ;;;;;
;st0000002;KREMA;0,15;0;LİTRE;0,15;LİTRE;MERKEZ;;;;;
;st0000001;CAJUN BAHARATI 1000 GR;0,005;0;ADET;0,005;ADET;MERKEZ;;;;;
;ST00248;ZERDEÇAL TOZ;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000109;KEKİK 1000 GR;0,003;0;KİLOGRAM;0,003;KİLOGRAM;MERKEZ;;;;;
;st0000015;KARABİBER 1000GR;0,003;0;KİLOGRAM;0,003;KİLOGRAM;MERKEZ;;;;;
;st0000108;KİMYON;0,003;0;KİLOGRAM;0,003;KİLOGRAM;MERKEZ;;;;;
;st0000309;LİMON;0,03;0;KİLOGRAM;0,03;KİLOGRAM;MERKEZ;;;;;
;st0000311;ICEBERG;0,05;0;ADET;0,05;ADET;MERKEZ;;;;;
;st0000310;LOLOROSO ADET ;0,05;0;ADET;0,05;ADET;MERKEZ;;;;;
;ST00304;ROKA;0,05;0;ADET;0,05;ADET;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00050;MANTAR SOSLU TAVUK;BUR00082;MANTAR SOSLU TAVUK;1;MERKEZ;MERKEZ;1.12.2025;MERKEZ;30.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000381;TAVUK BONFİLE;0,18;0;KİLOGRAM;0,18;KİLOGRAM;MERKEZ;;;;;
;st0000314;ÇERY DOMATES;0,03;0;KİLOGRAM;0,03;KİLOGRAM;MERKEZ;;;;;
;ST00040;PATATES KIZARTMASI;0,5;0;Adet;0,5;Adet;MERKEZ;;;;;
;ST00045;PENNE NAPOLİTAN;0,33;0;Adet;0,33;Adet;MERKEZ;;;;;
;st0000301;MANTAR;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;st0000021;NİŞASTA 10 KG ;0,01;0;KİLOGRAM;0,01;KİLOGRAM;MERKEZ;;;;;
;st0000002;KREMA;0,15;0;LİTRE;0,15;LİTRE;MERKEZ;;;;;
;st0000022;SOYA SOSU;0,005;0;ADET;0,005;ADET;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
