id,barcode,product_name,category,unit,purchase_price,unit_price,current_stock,created_at,stok_kodu
5ce230c7-e472-4b6a-9e7c-17ed1183b665,,KARAM GURME 50GX18 KL,Yiyecek,ADET,0.00,0.00,0,2026-03-15 21:32:34.194221+00,st0000361
5d28fe99-2a75-4f1d-beab-4b87a754d11c,,BARDAK COOKİE*,AYAKÜSTÜ KONAK MENÜ,ADET,0.00,0.00,0,2026-03-15 21:28:15.133536+00,ST00416
5d53da43-785e-4d74-a2a4-2d7d669a3fd2,,FUAR ÇİKOLATALI PUDİNG,Yiyecek,ADET,0.00,0.00,0,2026-03-15 21:32:14.228899+00,ST00192
5d80fece-ef80-4a4a-85e1-c3ea748a1e62,,12 KG GAZ,Sarf Malzeme,ADET,0.00,0.00,0,2026-03-15 21:31:21.430441+00,ST00219
5d8c80dd-1184-4649-ae12-e2c6c64ded05,http://www.nhmedical.com.tr/sertifika/mdr,SİYAH HASPET MUAYENE ELDİVENİ 100'LÜ,Sarf Malzeme,PKT.,0.00,0.00,0,2026-03-15 21:31:31.014789+00,st0000032
5dbcad79-81d8-4792-9ddc-c46a451e37f1,,MİKROFİBER BEZ,Temizlik Ürünü,ADET,0.00,0.00,0,2026-03-15 21:31:47.403848+00,st0000071
5dfde4b5-d371-4bd4-a472-ddbb3f89997d,,NESCAFE CAPPUCINO VANL. 12X1KG,Hammadde,KİLOGRAM,0.00,0.00,0,2026-03-15 21:29:48.067988+00,st0000276
5e4a8520-ce9e-48ae-a24f-9c1a86ff7d79,,AYRAN 175 ML,İçecek,ADET,0.00,0.00,0,2026-03-15 21:30:55.826091+00,ST00199
5ec1ba95-a718-4458-85f1-fa7fb4fecdeb,,CAPPY 200 ML TETRAPAK,İçecek,ADET,0.00,0.00,0,2026-03-15 21:30:50.018579+00,st0000349
5f6fc111-c2f9-444d-bda5-b6b7e67b94fa,,FIRINDA BAGET,ÇINARLI MENÜ,ADET,0.00,0.00,0,2026-03-15 21:28:41.361575+00,ST00390
5f861c12-b019-4604-8a5b-bd5ad49a8549,,ISLAK KOLONYALI MENDİL KOLİ 1000 ADET,Sarf Malzeme,KOLİ,0.00,0.00,0,2026-03-15 21:31:34.084682+00,st0000041
5fb9eefc-c5b6-48b0-aab9-2b40c0529f9d,,ETLİ KEREVİZ,ÇINARLI MENÜ,ADET,0.00,0.00,0,2026-03-15 21:28:37.275867+00,ST00376
