id,name,energy,protein,carbohydrate,fat,unit_price,api_id,category_id,waste_percentage,is_active,user_id,created_at,updated_at,supplier_id,is_piece_based,piece_weight,piece_name
4f3d27d1-58e9-4eca-98bc-0fbc7776df0f,DAMLA MN.SADE OWB S200 DYS,0.00,0.00,0.00,0.00,172.26,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:14:02.822341+00,2026-03-16 10:14:02.822341+00,,false,,KG
4f8fcba2-3f3e-47cf-af72-7218ccda789e,AYRAN 200 MLT,0.00,0.00,0.00,0.00,184.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:16:33.65739+00,2026-03-16 10:16:33.657391+00,,false,,KG
4fe8dfb9-b2dd-4e9b-bf9c-2254a5558359,PINAR MAYONEZ 700 GR,0.00,0.00,0.00,0.00,66.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:17:21.402096+00,2026-03-16 10:17:21.402096+00,,true,,Adet
509a8260-b38a-449c-be2f-4cb5047b2b61,5000 GR SÜZME ÇİÇEK BALI KOVA HASKAYMAK,0.00,0.00,0.00,0.00,960.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:16:22.585144+00,2026-03-16 10:16:22.585145+00,,true,,Adet
509c3b54-bb28-4439-9178-335b87a95107,MİNİ--CEM SİYAH ZEYTİN  PİKNİK VAKUM 20GR 96 LI,0.00,0.00,0.00,0.00,445.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:17:09.615118+00,2026-03-16 10:17:09.615118+00,,false,,KG
512ec278-25a4-4a43-9d6c-497210d06284,TBT-JUMBO-DEMLIK 30 GR OF (30ADET),0.00,0.00,0.00,0.00,358.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:17:38.23973+00,2026-03-16 10:17:38.23973+00,,true,,Adet
514938eb-adf2-4457-bfed-49ed67065c9c,24*24 PEÇETE,0.00,0.00,0.00,0.00,458.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:10:01.277538+00,2026-03-16 10:10:01.277538+00,,false,,KG
538e9552-8721-463b-ac0a-3868b3c2e907,DAM MN.CLK-KRPZOWB2001X24YS DYS,0.00,0.00,0.00,0.00,225.46,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:14:00.333243+00,2026-03-16 10:14:00.333243+00,,false,,KG
544f93ea-55e3-4450-8ca0-4b1b3558fb8e,DOMATES BEEF,0.00,0.00,0.00,0.00,80.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:15:04.345372+00,2026-03-16 10:15:04.345373+00,,false,,KG
57c54298-61c7-40d2-b038-855e622cbcb0,BSZ TOP. FINDIKLI  24X35,0.00,0.00,0.00,0.00,9.50,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:20:29.712623+00,2026-03-16 10:20:29.712623+00,,true,,Parça
595f9b80-8f10-442f-b468-7ae151a38d9a,PUDRA ŞEKERİ DÖKME 5 KG,0.00,0.00,0.00,0.00,63.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:17:25.194151+00,2026-03-16 10:17:25.194151+00,,false,,KG
597be867-7963-4c94-b31f-4e878fbcd8f8,LOLOROSSO,0.00,0.00,0.00,0.00,90.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:15:15.925544+00,2026-03-16 10:15:15.925544+00,,true,,Parça
59aaaa4a-373b-4ab4-98c5-22dad09d32b1,500 GR CAM KİRAZ ŞEKERLEME,0.00,0.00,0.00,0.00,248.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:16:21.782626+00,2026-03-16 10:16:21.782626+00,,true,,Adet
5a8e6443-d611-4cb9-9f36-6dab9d9b3d11,7 OZ KARTON  BARDAK*3000AD,0.00,0.00,0.00,0.00,1390.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:16:24.139917+00,2026-03-16 10:16:24.139917+00,,false,,KG
5ae5f938-d71a-439c-8cee-3e780498932a,"TOST PEYNİRİ DİLİMLİ 1,5 KG (K6)",0.00,0.00,0.00,0.00,439.09,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:19:40.252903+00,2026-03-16 10:19:40.252903+00,,true,,Parça
