Stok Kodu;Stok Adı;Grubu;Birimi
st0000216;FO MEYVE PÜRESİ FROZEN AHUDUDU;Hammadde;KİLOGRAM
st0000217;FO ŞURUP KOKTEYL;Hammadde;KİLOGRAM
st0000218;OLIOVILLA SIZMA Z.YAĞI LT;Hammadde;LİTRE
st0000222;LİMON SUYU;Hammadde;LİTRE
st0000223;VERDE SIZMA Z.YAĞI 5 KG;Hammadde;LİTRE
st0000224;YOĞURT HOMOJEN 9 KG;Hammadde;KİLOGRAM
st0000226;KRİSTAL Z.YAĞI RİVİERA 18 LT;Hammadde;LİTRE
st0000227;NO 2 TURŞU;Hammadde;KİLOGRAM
st0000208;ORET KOKTEYL SOSİS KG;Hammadde;KİLOGRAM
st0000234;EZİNE BEYAZ PEYNİR KG VAKUM;Hammadde;KİLOGRAM
st0000280;NESTLE KAKAO 4X1KG;Hammadde;KİLOGRAM
st0000281;BURGER BÜFE 90 GR;Hammadde;KİLOGRAM
st0000282;UNICOMIX PURE 1150 GR LİMON;Hammadde;KİLOGRAM
st0000283;UNICOMIX PURE 1150 GR FRAMBUAZ;Hammadde;KİLOGRAM
st0000284;NESTLE PROFESSIONAL PRALIN 10KG;Hammadde;KİLOGRAM
st0000285;AYÇEKİRDEĞİ İÇİ;Hammadde;LİTRE
st0000286;EXTRA SÜTLÜ PARÇA ÇİKOLATA;Hammadde;KİLOGRAM
st0000287;ESMER ŞEKER 1 KG;Hammadde;KİLOGRAM
st0000288;FINDIK FİLE 1 KG;Hammadde;KİLOGRAM
st0000289;NESTLE BİTTER KUVERTÜR 2,5KG;Hammadde;KİLOGRAM
st0000290;NESTLE 1927 SÜTLÜ KUVERTÜR 2,5KG;Hammadde;KİLOGRAM
st0000300;UNICOMİX PÜRE 1150 GR KARADUT;Hammadde;KİLOGRAM
st0000301;MANTAR;Hammadde;KİLOGRAM
st0000302;MAYDONOZ;Hammadde;ADET
st0000303;HAVUÇ;Hammadde;KİLOGRAM
st0000305;KEREVİZ;Hammadde;KİLOGRAM
st0000306;DOMATES;Hammadde;KİLOGRAM
st0000307;FESLEĞEN;Hammadde;ADET
st0000308;YEŞİL BİBER;Hammadde;KİLOGRAM
st0000309;LİMON;Hammadde;KİLOGRAM
st0000310;LOLOROSO ADET;Hammadde;ADET
st0000311;ICEBERG;Hammadde;ADET
st0000312;PATLICAN;Hammadde;KİLOGRAM
st0000313;SALATALIK;Hammadde;KİLOGRAM
st0000314;ÇERY DOMATES;Hammadde;KİLOGRAM
st0000315;KIL ACI BİBER;Hammadde;KİLOGRAM
st0000317;MUZ İTHAL;Hammadde;KİLOGRAM
st0000318;ARMUT;Hammadde;KİLOGRAM
st0000319;YEŞİL ELMA;Hammadde;KİLOGRAM
st0000320;KARNABAHAR;Hammadde;KİLOGRAM
st0000321;SOĞAN;Hammadde;KİLOGRAM
st0000322;TAZE FASULYE;Hammadde;KİLOGRAM
st0000323;KAPYA BİBER;Hammadde;KİLOGRAM
st0000324;KİRAZ;Hammadde;KİLOGRAM
st0000325;PORTAKAL;Hammadde;KİLOGRAM
st0000326;ELMA İTHAL;Hammadde;KİLOGRAM
st0000327;PATATES;Hammadde;KİLOGRAM
st0000328;MANDALİNA;Hammadde;KİLOGRAM
st0000329;KABAK;Hammadde;KİLOGRAM
st0000330;ÇİLEK;Hammadde;KİLOGRAM
st0000331;ZENCEFİL;Hammadde;KİLOGRAM
st0000332;TOPAN PATLICAN;Hammadde;KİLOGRAM
st0000333;NAZO BİBER;Hammadde;KİLOGRAM
st0000334;SARIMSAK;Hammadde;KİLOGRAM
st0000335;KİVİ;Hammadde;KİLOGRAM
st0000336;AKDENİZ SALATASI;Hammadde;KİLOGRAM
st0000337;KIRMIZI SOĞAN;Hammadde;KİLOGRAM
st0000338;SALATALIK SİLOR;Hammadde;KİLOGRAM
st0000339;ŞEFTALİ;Hammadde;KİLOGRAM
st0000272;NESTLE CAPUCCINOCREAMER 12X1KG;Hammadde;KİLOGRAM
st0000273;NESCAFE SÜTLÜ 12X1KG;Hammadde;KİLOGRAM
st0000274;NESTLE SICAK ÇİKOLATA 12X1KG;Hammadde;KİLOGRAM
st0000275;NESCAFE INTENSE;Hammadde;KİLOGRAM
st0000276;NESCAFE CAPPUCINO VANL. 12X1KG;Hammadde;KİLOGRAM
st0000001;CAJUN BAHARATI 1000 GR;Hammadde;KİLOGRAM
st0000002;KREMA;Hammadde;LİTRE
st0000008;HİSAR TÜRK KAHVE 500 GR;Hammadde;ADET
st0000009;PEKMEZCİ SİGARA BÖREĞİ (KALEM);Hammadde;KİLOGRAM
st0000011;MAYONEZ KİLOLUK;Hammadde;KİLOGRAM
st0000012;KETÇAP KİLOLUK;Hammadde;KİLOGRAM
st0000013;SALÇA;Hammadde;KİLOGRAM
st0000014;SAF TUZ 750 GR;Hammadde;KİLOGRAM
