Ürün Adı;Şube;Birim Maliyet (TL)
TAZE FASULYE;CINARLI;0
TBT JUMBO DEMLİK 30 GR OFÇAY ( 30 ADET);GUZELYALI;397,78
TBT JUMBO DEMLİK 30 GR OFÇAY ( 30 ADET);ATILLA;397,78
TBT JUMBO DEMLİK 30 GR OFÇAY ( 30 ADET);SONKURT;397,78
TBT JUMBO DEMLİK 30 GR OFÇAY ( 30 ADET);TOROS;397,78
TBT JUMBO DEMLİK 30 GR OFÇAY ( 30 ADET);ABACI;397,78
TBT JUMBO DEMLİK 30 GR OFÇAY ( 30 ADET);ADILE;397,78
TBT JUMBO DEMLİK 30 GR OFÇAY ( 30 ADET);CINARTEPE;397,78
TEK KULLANIMLIK KETÇAP;CINARTEPE;0,87
TEK KULLANIMLIK KETÇAP;ATILLA;0,87
TEK KULLANIMLIK KETÇAP;TOROS;0,87
TEK KULLANIMLIK KETÇAP;SONKURT;0,87
TEK KULLANIMLIK KETÇAP;ABACI;0,87
TEK KULLANIMLIK KETÇAP;GUZELYALI;0,87
TEK KULLANIMLIK MAYONEZ;GUZELYALI;1,07
TEK KULLANIMLIK MAYONEZ;TOROS;1,07
TEK KULLANIMLIK MAYONEZ;ATILLA;1,07
TEK KULLANIMLIK MAYONEZ;SONKURT;1,07
TEK KULLANIMLIK MAYONEZ;ABACI;1,07
TEK KULLANIMLIK MAYONEZ;CINARTEPE;1,07
TEKLİ SARMA ŞEKER;CINARTEPE;64,75
Teksen Zeytin Ezme;CINARLI;0
TEL ŞEHRİYE DÖKME 5 KG;CINARLI;36,8
TEREYAĞ 10GR PİKNİK;CINARTEPE;0
TEREYAĞI 1 KG;CINARLI;575
TERMAL POS RULOSU;ATILLA;7,4
TERMAL POS RULOSU;TOROS;7,4
TERMAL POS RULOSU;ADILE;7,4
TERMAL POS RULOSU;ABACI;7,4
TERMAL POS RULOSU;CINARTEPE;7,4
TERMAL POS RULOSU;AYAKUSTU;7,4
TERMAL RULOSU;ATILLA;24,4
TERMAL RULOSU;TOROS;24,4
TERMAL RULOSU;ADILE;24,4
TERMAL RULOSU;ABACI;24,4
TERMAL RULOSU;CINARTEPE;24,4
TERMAL RULOSU;AYAKUSTU;24,4
TİTAN KREM TEMİZLEYİCİ ;CINARTEPE;0
TORTİLLA LAVAŞ 12 Lİ;CINARLI;129
TOZ BİBER;CINARLI;220
TOZ ŞEKER 50  KG;CINARLI;39,5
TRAKYAĞ SIVIYAĞ LT;CINARLI;90,56
TROCEAN TABLET MAKİNE TUZU ;CINARTEPE;0
Tulum Peyniri;CINARLI;0
TURYAĞ 18 LT (FRİTÖZ YAĞI);TOROS;101,39
TURYAĞ 18 LT (FRİTÖZ YAĞI);GUZELYALI;101,39
TURYAĞ 18 LT (FRİTÖZ YAĞI);CINARTEPE;101,39
TURYAĞ 18 LT (FRİTÖZ YAĞI);SONKURT;101,39
TUVALET KAĞIDI 72'Lİ BELLEZA;ADILE;7,28
TUVALET KAĞIDI 72'Lİ BELLEZA;CINARTEPE;7,28
UFAK BOY-BERRAK KAPARİ 320 ML;CINARLI;0
ÜÇGEN PEYNİR;TOROS;0
ÜÇGEN PEYNİR;CINARTEPE;0
ÜLKER TEREMYAĞ KG;TOROS;107,6
ÜLKER TEREMYAĞ KG;SONKURT;107,6
ÜLKER TEREMYAĞ KG;ABACI;107,6
ÜLKER TEREMYAĞ KG;CINARTEPE;107,6
ÜZÜMLÜ KURABİYE;CINARLI;0
VENTURA BULAŞIK MAK DTRJAN 20KG;GUZELYALI;0
VENTURA BULAŞIK MAK DTRJAN 20KG;ABACI;0
VENTURA BULAŞIK MAK DTRJAN 20KG;CINARTEPE;0
VENTURA BULAŞIK MAK DTRJAN 20KG;TOROS;0
VENTURA CONTRA 5 KG;TOROS;35,96
VENTURA CONTRA KİREÇ ÇÖZ 20 KG;CINARTEPE;39,05
VENTURA ELDE YIK.BUL.DET.5KG;CINARTEPE;29,73
VENTURA EXTRA ELDE YIK.BUL.DET.20KG;GUZELYALI;29,73
VENTURA EXTRA ELDE YIK.BUL.DET.20KG;ABACI;29,73
VENTURA EXTRA ELDE YIK.BUL.DET.20KG;ADILE;29,73
VENTURA FRESH M (Genel Temizlik Md.) 20 KG;ADILE;29,9
VENTURA FRESH M (Genel Temizlik Md.) 20 KG;GUZELYALI;29,9
VENTURA FRESH M (Genel Temizlik Md.) 20 KG;TOROS;29,9
VENTURA FRESH M (Genel Temizlik Md.) 20 KG;ABACI;29,9
VENTURA GRİLL FIRIN TEM.MAD. 5 KG;CINARTEPE;65,6
VENTURA MATİK 25 KG ENDÜSTRİYEL;CINARTEPE;36,91
VENTURA RİNSE PARLATICI;TOROS;44,21
VENTURA RİNSE PARLATICI;CINARTEPE;44,21
VENTURA RİNSE PARLATICI;GUZELYALI;44,21
VENTURA RİNSE PARLATICI;ABACI;44,21
VENTURA ULTRA CLOR ÇMŞR. SYU 5 LT;CINARTEPE;23
VENÜS BATTAL BOY ÇÖP POŞETİ KOLİ;GUZELYALI;0
VENÜS BATTAL BOY ÇÖP POŞETİ KOLİ;AYAKUSTU;0
VERDE SIZMA Z.YAĞI 5 KG;CINARLI;308,8
Vialli sıvı  sabun dispenseri;GUZELYALI;0
YUMURTA 30 LU;CINARLI;0
ZENCEFİLLİ KURABİYE ;CINARLI;0
ZERDEÇAL TOZ;CINARLI;189
